"No.","Time","Source","Destination","Protocol","Length","Info"
"218","2025/047 12:52:07.291995","10.0.0.4","206.247.60.204","TCP","54","64046  >  443 [ACK] Seq=735 Ack=1747 Win=255 Len=0"
"219","2025/047 12:52:07.308401","10.0.0.4","206.247.60.204","UDP","1037","59137  >  8801 Len=995"
"220","2025/047 12:52:07.308456","10.0.0.4","206.247.60.204","UDP","1036","59137  >  8801 Len=994"
"221","2025/047 12:52:07.308467","10.0.0.4","206.247.60.204","UDP","1036","59137  >  8801 Len=994"
"222","2025/047 12:52:07.308478","10.0.0.4","206.247.60.204","UDP","1036","59137  >  8801 Len=994"
"223","2025/047 12:52:07.322008","206.247.60.204","10.0.0.4","UDP","160","8801  >  59139 Len=118"
"224","2025/047 12:52:07.322240","10.0.0.4","206.247.60.204","UDP","1068","59137  >  8801 Len=1026"
"225","2025/047 12:52:07.322434","10.0.0.4","206.247.60.204","UDP","141","59139  >  8801 Len=99"
"226","2025/047 12:52:07.328284","206.247.60.204","10.0.0.4","UDP","1159","8801  >  59137 Len=1117"
"227","2025/047 12:52:07.341985","206.247.60.204","10.0.0.4","UDP","155","8801  >  59139 Len=113"
"228","2025/047 12:52:07.344971","206.247.60.204","10.0.0.4","TCP","56","443  >  64046 [ACK] Seq=1747 Ack=735 Win=16 Len=0"
"229","2025/047 12:52:07.348523","206.247.60.204","10.0.0.4","UDP","1158","8801  >  59137 Len=1116"
"230","2025/047 12:52:07.354468","10.0.0.4","206.247.60.204","UDP","1263","59137  >  8801 Len=1221"
"231","2025/047 12:52:07.362563","206.247.60.204","10.0.0.4","UDP","154","8801  >  59139 Len=112"
"232","2025/047 12:52:07.363155","10.0.0.4","206.247.60.204","UDP","1263","59137  >  8801 Len=1221"
"233","2025/047 12:52:07.372984","10.0.0.4","206.247.60.204","TLSv1.2","894","Application Data"
"234","2025/047 12:52:07.373052","10.0.0.4","206.247.60.204","TLSv1.2","239","Application Data"
"235","2025/047 12:52:07.382739","206.247.60.204","10.0.0.4","UDP","157","8801  >  59139 Len=115"
